travelTimeMeta_ID,Vsi,Qtn_TT,Ic_TT,fz_TT,ztop_TT,zbot_TT,Group,Group_ID
29,122.5843774,101.1418218,2.44997903,1.17942774,17.75,19.75,af/Qi,6
29,304.8413483,347.9409062,2.44902662,1.353083883,19.75,21.75,af/Qi,6
29,337.2927628,282.740852,1.924840722,1.526395752,21.75,23,af/Qi,6
30,138.2723721,124.7580822,1.857913952,0.357025729,1.75,3.75,af/Qi,6
30,127.8553255,122.7793475,2.117401274,0.509216932,3.75,5.75,af/Qi,6
30,132.3849454,118.7923506,2.273352639,0.644258839,5.75,7.75,af/Qi,6
30,114.4600714,88.65335677,2.792107261,0.757798598,7.75,9.75,af/Qi,6
30,99.72874832,44.75702868,2.948667915,0.865485262,9.75,11.75,af/Qi,6
30,125.8071728,48.19388909,2.799798099,0.972841022,11.75,13.75,af/Qi,6
30,264.1208014,245.2474422,2.503865028,1.110439436,13.75,15.75,af/Qi,6
30,405.9391563,474.654205,1.974664719,1.234834859,15.75,16.25,af/Qi,6
31,133.5058029,152.659008,1.949824847,0.279470814,1.75,3.75,af/Qi,6
