travelTimeMeta_ID,site_ID,Group,citation_ID,name,Geology (Holzer),search (Grant),Geology (Site Table),Geology (Mapping),longitude,latitude,method,date,quality,VelocityDataType,vsz_value,vsz_unit,z_value,z_unit,depth_unit,traveltime_unit,DGWT,Group
112,3339,Beach_Dune,80,BKY010,Qts,South carolina,"",#N/A,-79.853,32.962,SCPT,2004.11.6,,Vs,225.9855,m/s,19.95,m,m,m/s,-,Beach_Dune
113,3340,Beach_Dune,80,BKY011,Qts,South carolina,"",#N/A,-79.8171,32.9543,SCPT,2004.11.8,,Vs,269.6675,m/s,19.95,m,m,m/s,-,Beach_Dune
114,3341,Beach_Dune,80,BKY012,Qts,South carolina,"",#N/A,-79.821,32.9682,SCPT,2004.11.8,,Vs,280.5796,m/s,19.75,m,m,m/s,-,Beach_Dune
115,3342,Beach_Dune,80,BKY013,Qts,South carolina,"",#N/A,-79.8343,32.9653,SCPT,2004.11.8,,Vs,238.829,m/s,20.15,m,m,m/s,-,Beach_Dune
116,3343,Beach_Dune,80,BKY014,Qts,South carolina,"",#N/A,-79.7711,32.995,SCPT,2004.11.8,,Vs,207.9641,m/s,19.95,m,m,m/s,-,Beach_Dune
117,3344,Beach_Dune,80,BKY015,Qts,South carolina,"",#N/A,-79.7625,32.9999,SCPT,2004.11.8,,Vs,206.2868,m/s,19.95,m,m,m/s,-,Beach_Dune
118,3345,Beach_Dune,80,BKY016,Qts,South carolina,"",#N/A,-79.759,32.9928,SCPT,2004.11.9,,Vs,270.9562,m/s,19.75,m,m,m/s,-,Beach_Dune
119,3346,Beach_Dune,80,BKY017,Qts,South carolina,"",#N/A,-79.7486,33.002,SCPT,2004.11.9,,Vs,222.5087,m/s,19.85,m,m,m/s,-,Beach_Dune
120,3347,Beach_Dune,80,BKY018,Qts,South carolina,"",#N/A,-79.7407,33.0122,SCPT,2004.11.9,,Vs,239.1226,m/s,19.95,m,m,m/s,-,Beach_Dune
121,3348,Beach_Dune,80,BKY019,Qts,South carolina,"",#N/A,-79.9151,32.9087,SCPT,2004.11.9,,Vs,243.169,m/s,32.75,m,m,m/s,-,Beach_Dune
122,3349,Beach_Dune,80,BKY020,Qts,South carolina,"",#N/A,-79.733,33.0216,SCPT,2004.11.14,,Vs,275.9922,m/s,19.75,m,m,m/s,-,Beach_Dune
123,3350,Beach_Dune,80,BKY021,Qts,South carolina,"",#N/A,-79.7362,33.0357,SCPT,2004.11.14,,Vs,268.6709,m/s,19.75,m,m,m/s,-,Beach_Dune
124,3351,Beach_Dune,80,BKY022,Qts,South carolina,"",#N/A,-79.7212,33.0327,SCPT,2004.11.14,,Vs,243.0175,m/s,17.75,m,m,m/s,-,Beach_Dune
125,3352,Beach_Dune,80,BKY023,Qts,South carolina,"",#N/A,-79.9855,32.9115,SCPT,2004.11.19,,Vs,278.2039,m/s,19.95,m,m,m/s,-,Beach_Dune
126,3353,Beach_Dune,80,BKY024,Qts,South carolina,"",#N/A,-80.0071,32.9118,SCPT,2004.11.19,,Vs,252.8371,m/s,15.15,m,m,m/s,-,Beach_Dune
127,3354,Lagoonal,80,BZA001,Lagoonal,Texas,"",#N/A,-95.2851,28.9794,SCPT,2006.1.3,,Vs,160.3839,m/s,32.25,m,m,m/s,-,Lagoonal
128,3355,Lagoonal,80,BZA002,Lagoonal,Texas,"",#N/A,-95.2963,28.9756,SCPT,2006.1.3,,Vs,159.0059,m/s,29.75,m,m,m/s,-,Lagoonal
129,3356,Lagoonal,80,BZA003,Lagoonal,Texas,"",#N/A,-95.2688,28.9792,SCPT,2006.1.3,,Vs,180.6534,m/s,29.75,m,m,m/s,-,Lagoonal
