travelTimeArray_ID,travelTimeMeta_ID,depth,traveltime
1108,112,5.75,29.3
1109,112,7.75,40
1110,112,9.75,50.31
1111,112,11.75,60.31
1112,112,13.75,69.6
1113,112,15.75,78.04
1114,112,17.75,82.65
1115,112,19.95,88.28
1116,113,1.75,10.55
1117,113,3.75,17.66
1118,113,5.75,25.08
1119,113,7.75,37.5
1120,113,9.75,49.14
1121,113,11.75,56.56
1122,113,13.75,60.07
1123,113,15.75,63.82
1124,113,17.75,68.59
1125,113,19.95,73.98
1126,114,1.75,11.17
1127,114,3.75,17.97
1128,114,5.75,27.5
1129,114,7.75,37.34
1130,114,9.75,49.76
1131,114,11.75,58.28
1132,114,13.75,61.32
1133,114,15.75,64.21
1134,114,17.75,67.26
1135,114,19.75,70.39
1136,115,1.75,10.7
1137,115,3.75,17.03
1138,115,5.75,28.59
1139,115,7.75,43.59
1140,115,9.75,56.95
1141,115,11.75,64.76
1142,115,13.75,69.76
1143,115,15.75,72.65
1144,115,17.75,76.48
1145,115,20.15,84.37
1146,116,1.75,10.94
1147,116,3.75,15.7
1148,116,5.75,28.59
1149,116,7.75,40.7
1150,116,9.75,48.43
1151,116,11.75,56.17
1152,116,13.75,65.93
1153,116,15.75,75.54
1154,116,17.75,84.76
1155,116,19.95,95.93
1156,117,1.75,9.84
1157,117,3.75,18.2
1158,117,5.75,27.5
1159,117,7.75,38.83
1160,117,9.75,49.22
1161,117,11.75,60
1162,117,13.75,70.93
1163,117,15.75,79.21
1164,117,17.75,87.65
1165,117,19.95,96.71
1166,118,1.75,10.08
1167,118,3.75,17.89
1168,118,5.75,27.5
1169,118,7.75,37.34
1170,118,9.75,50.07
1171,118,11.75,55
1172,118,13.75,60.15
1173,118,15.75,64.37
1174,118,17.75,68.43
1175,118,19.75,72.89
1176,119,1.75,11.87
1177,119,3.75,18.98
1178,119,5.75,27.5
1179,119,7.75,36.17
1180,119,9.75,47.42
1181,119,11.75,58.28
1182,119,13.75,66.32
1183,119,15.75,72.89
1184,119,17.75,79.99
1185,119,19.85,89.21
1186,120,1.75,11.25
1187,120,3.75,17.73
1188,120,5.75,28.36
1189,120,7.75,42.03
1190,120,9.85,51.64
1191,120,11.85,58.67
1192,120,13.75,66.87
1193,120,15.75,74.14
1194,120,17.75,78.43
1195,120,19.95,83.43
1196,121,1.75,14.37
1197,121,3.75,21.09
1198,121,5.75,29.45
1199,121,7.75,33.59
1200,121,9.75,45.54
1201,121,11.75,55.15
1202,121,13.75,66.32
1203,121,15.75,73.98
1204,121,18,85.93
1205,121,19.75,91.71
1206,121,21.75,101.32
1207,121,23.75,107.49
1208,121,25.75,113.66
1209,121,27.75,121.01
1210,121,29.75,126.79
1211,121,31.75,131.71
1212,121,32.75,134.68
1213,122,1.75,11.25
1214,122,3.75,18.51
1215,122,5.75,28.2
1216,122,7.75,40.15
1217,122,9.75,52.26
1218,122,11.75,60
1219,122,13.75,62.89
1220,122,15.75,66.17
1221,122,17.75,68.82
1222,122,19.75,71.56
1223,123,1.75,9.92
1224,123,3.75,18.59
1225,123,5.75,28.36
1226,123,7.75,39.84
1227,123,9.75,51.56
1228,123,11.75,58.98
1229,123,13.75,62.89
1230,123,15.75,66.71
1231,123,17.75,69.53
1232,123,19.75,73.51
1233,124,1.75,10.78
1234,124,3.75,18.51
1235,124,5.75,29.45
1236,124,7.75,39.76
1237,124,9.75,50.07
1238,124,11.75,58.28
1239,124,13.75,65
1240,124,15.75,70
1241,124,17.75,73.04
1242,125,1.75,9.22
1243,125,3.75,14.14
1244,125,5.75,18.98
1245,125,7.75,37.11
1246,125,9.75,44.06
1247,125,11.75,48.98
1248,125,13.75,56.72
1249,125,15.75,61.48
1250,125,17.75,65.54
1251,125,19.95,71.71
1252,126,1.75,10.08
1253,126,3.75,19.69
1254,126,5.75,31.87
1255,126,7.75,38.75
1256,126,9.75,44.92
1257,126,11.75,51.17
1258,126,13.75,56.25
1259,126,15.15,59.92
1260,127,1.75,10.31
1261,127,3.75,25.23
1262,127,5.75,36.4
1263,127,7.75,51.4
1264,127,9.75,67.65
1265,127,11.75,84.37
1266,127,13.75,96.48
1267,127,15.75,110.54
1268,127,17.75,117.26
1269,127,19.75,133.12
1270,127,21.75,147.1
1271,127,23.75,152.65
1272,127,25.75,165.07
1273,127,27.75,182.41
1274,127,29.75,192.64
1275,127,31.75,197.72
1276,127,32.25,201.08
1277,128,1.75,10.16
1278,128,3.75,33.28
1279,128,5.75,45.39
1280,128,7.75,57.81
1281,128,9.75,75.31
1282,128,11.75,87.1
1283,128,13.75,99.6
1284,128,15.75,105.31
1285,128,17.75,117.49
1286,128,19.75,133.9
1287,128,21.75,141.63
1288,128,23.75,152.88
1289,128,25.75,166.08
1290,128,27.75,174.21
1291,128,29.75,187.1
1292,129,1.75,10.94
1293,129,3.75,23.9
1294,129,5.75,37.58
1295,129,7.75,48.12
1296,129,9.75,58.98
1297,129,11.75,68.67
1298,129,13.75,80.85
1299,129,15.75,89.92
1300,129,17.75,96.63
1301,129,19.75,108.98
1302,129,21.75,123.74
1303,129,23.75,132.18
1304,129,25.75,146.01
1305,129,27.75,155.3
1306,129,29.75,164.68
1307,130,1.75,11.64
1308,130,3.75,18.59
1309,130,5.75,43.75
1310,130,7.75,58.98
1311,130,9.75,76.87
1312,130,11.75,87.18
1313,130,13.75,91.32
1314,130,15.75,101.48
1315,130,17.75,111.16
1316,130,19.75,119.99
1317,130,21.75,126.09
1318,130,23.5,132.88
1319,131,1.75,12.11
1320,131,3.75,29.3
1321,131,5.75,37.03
1322,131,7.75,52.73
1323,131,9.75,59.92
1324,131,11.75,66.71
1325,131,13.75,75.23
1326,131,14.8,79.53
1327,132,1.75,14.14
1328,132,3.75,28.36
1329,132,5.75,38.9
1330,132,7.75,49.84
1331,132,9.75,55.47
1332,132,11.75,66.71
1333,132,13.8,72.1
1334,132,15.75,80.78
1335,132,17.75,90.7
1336,132,19.75,105.38
1337,132,21.05,112.49
1338,133,1.75,13.05
1339,133,3.75,26.17
1340,133,5.75,38.59
1341,133,7.75,46.4
1342,133,9.75,60.07
1343,133,11.75,65.93
1344,133,13.75,76.4
1345,133,15.75,85.46
1346,133,17.75,95.23
1347,133,19.75,104.6
1348,133,21.75,111.01
1349,133,24.25,120.46
1350,134,1.75,11.95
1351,134,3.75,19.3
1352,134,5.75,34.45
1353,134,7.75,48.04
1354,134,9.75,57.65
1355,134,11.75,66.4
1356,134,13.75,79.53
1357,134,14.6,85.07
1358,135,1.75,9.22
1359,135,3.75,14.3
1360,135,5.75,27.58
1361,135,7.75,46.48
1362,135,9.75,53.2
1363,135,11.75,62.81
1364,135,13.75,72.65
1365,135,15.75,80.39
1366,136,1.75,10.78
1367,136,3.75,24.14
1368,136,5.75,37.11
1369,136,7.75,46.72
1370,136,9.75,56.48
1371,136,11.75,64.84
1372,136,13.75,75
1373,136,14.25,77.03
1374,137,1.75,10.08
1375,137,3.75,22.58
1376,137,5.75,33.51
1377,137,7.75,44.06
