conePenetrationTestMeta_ID,site_ID,citation_ID,name,longitude,latitude,date,coneNo,tipArea_unit,tipArea_value,pushRate_unit,pushRate_value,notes,depth_unit,tipResistance_unit,sleeveFriction_unit,porePressure_unit
1862,3821,80,Oak064,-122.255,37.7889,1999.4.7,660,,0,cm/s,0,,m,MPa,kPa,
1863,3822,80,Oak065,-122.245,37.7853,1999.4.7,660,,0,cm/s,0,,m,MPa,kPa,
1864,3823,80,Oak067,-122.218,37.7649,1999.4.15,660,,0,cm/s,0,,m,MPa,kPa,
1865,3824,80,Oak068,-122.229,37.7691,1999.4.15,660,,0,cm/s,0,,m,MPa,kPa,
1866,3825,80,Oak069,-122.238,37.7772,1999.4.19,660,,0,cm/s,0,,m,MPa,kPa,
1867,3826,80,Oak070,-122.216,37.7883,1999.4.19,660,,0,cm/s,0,,m,MPa,kPa,
1868,3827,80,Oak071,-122.158,37.7445,2000.3.22,660,,0,cm/s,0,,m,MPa,kPa,
1869,3828,80,Oak072,-122.17,37.7601,2000.3.22,,,0,cm/s,0,,m,MPa,kPa,
1870,3829,80,Oak073,-122.176,37.7657,2000.3.22,660,,0,cm/s,0,,m,MPa,kPa,
1871,3830,80,Oak074,-122.184,37.7732,2000.4.4,660,,0,cm/s,0,,m,MPa,kPa,
1872,3831,80,Oak075,-122.216,37.8043,2000.4.4,660,,0,cm/s,0,,m,MPa,kPa,
1873,3832,80,Oak076,-122.261,37.8247,2000.4.4,660,,0,cm/s,0,,m,MPa,kPa,
1874,3833,80,Oak077,-122.203,37.7909,2000.4.5,660,,0,cm/s,0,,m,MPa,kPa,
1875,3834,80,Oak079,-122.264,37.8083,2000.5.18,660,,0,cm/s,0,,m,MPa,kPa,
1876,3835,80,Oak080,-122.262,37.8113,2000.5.18,660,,0,cm/s,0,,m,MPa,kPa,
1877,3836,80,Oak081,-122.248,37.8096,2000.5.18,,,0,cm/s,0,,m,MPa,kPa,
1878,3837,80,Oak082,-122.256,37.7999,2000.5.18,660,,0,cm/s,0,,m,MPa,kPa,
1879,3838,80,Oak083,-122.276,37.8334,2000.8.28,660,,0,cm/s,0,,m,MPa,kPa,
1880,3839,80,Oak084,-122.269,37.8372,2000.8.28,660,,0,cm/s,0,,m,MPa,kPa,
1881,3840,80,Oak085,-122.272,37.8188,2000.8.28,660,,0,cm/s,0,,m,MPa,kPa,
1882,3841,80,Oak086,-122.22,37.7886,2000.9.14,660,,0,cm/s,0,,m,MPa,kPa,
1883,3842,80,Oak087,-122.224,37.7906,2000.9.14,660,,0,cm/s,0,,m,MPa,kPa,
1884,3843,80,Oak088,-122.222,37.7896,2000.9.14,660,,0,cm/s,0,,m,MPa,kPa,
1885,3844,80,Oak089,-122.267,37.8259,2000.9.15,660,,0,cm/s,0,,m,MPa,kPa,
1886,3845,80,Oak090,-122.266,37.8256,2000.9.15,660,,0,cm/s,0,,m,MPa,kPa,
1887,3846,80,Oak091,-122.264,37.8252,2000.9.15,660,,0,cm/s,0,,m,MPa,kPa,
1888,3847,80,Oak092,-122.268,37.8322,2000.9.21,660,,0,cm/s,0,,m,MPa,kPa,
1889,3848,80,Oak093,-122.265,37.8451,2000.9.21,660,,0,cm/s,0,,m,MPa,kPa,
1890,3849,80,Oak094,-122.186,37.7551,2000.10.11,660,,0,cm/s,0,,m,MPa,kPa,
1891,3850,80,POR001,-87.0074,41.6811,2004.9.23,766TC,,0,cm/s,0,,m,MPa,kPa,
1892,3851,80,POR002,-87.003,41.6831,2004.9.23,766TC,,0,cm/s,0,,m,MPa,kPa,
1893,3852,80,POR003,-86.9615,41.6931,2004.9.23,766TC,,0,cm/s,0,,m,MPa,kPa,
1894,3853,80,POR004,-86.9618,41.6974,2004.9.23,766TC,,0,cm/s,0,,m,MPa,kPa,
1895,3854,80,POR005,-87.0479,41.6566,2004.9.24,766TC,,0,cm/s,0,,m,MPa,kPa,
1896,3855,80,POR006,-87.0511,41.6598,2004.9.24,766TC,,0,cm/s,0,,m,MPa,kPa,
1897,3856,80,POR007,-87.0607,41.6569,2004.9.24,766TC,,0,cm/s,0,,m,MPa,kPa,
1898,3857,80,POR008,-87.0619,41.6597,2004.9.24,766TC,,0,cm/s,0,,m,MPa,kPa,
1899,3858,80,POR009,-87.0651,41.6594,2004.9.24,766TC,,0,cm/s,0,,m,MPa,kPa,
1900,3859,80,POR010,-87.0674,41.6541,2004.9.25,766TC,,0,cm/s,0,,m,MPa,kPa,
1901,3860,80,POR011,-87.0695,41.6591,2004.9.25,766TC,,0,cm/s,0,,m,MPa,kPa,
1902,3861,80,POR012,-87.0748,41.6569,2004.9.25,766TC,,0,cm/s,0,,m,MPa,kPa,
1903,3862,80,POR013,-87.2201,41.6227,2004.9.25,766TC,,0,cm/s,0,,m,MPa,kPa,
1904,3863,80,POR014,-87.2228,41.615,2004.9.26,766TC,,0,cm/s,0,,m,MPa,kPa,
1905,3864,80,POR015,-87.2163,41.6198,2004.9.26,766TC,,0,cm/s,0,,m,MPa,kPa,
1906,3865,80,POR016,-87.0094,41.6547,2004.9.26,766TC,,0,cm/s,0,,m,MPa,kPa,
1907,3866,80,POR017,-87.0096,41.6564,2004.9.26,766TC,,0,cm/s,0,,m,MPa,kPa,
1908,3867,80,POR018,-87.0095,41.6615,2004.9.26,766TC,,0,cm/s,0,,m,MPa,kPa,
1909,3868,80,POR019,-87.0097,41.6625,2004.9.27,766TC,,0,cm/s,0,,m,MPa,kPa,
1910,3869,80,POR020,-87.0097,41.6798,2004.9.27,766TC,,0,cm/s,0,,m,MPa,kPa,
1911,3870,80,POR021,-87.0096,41.6774,2004.9.27,766TC,,0,cm/s,0,,m,MPa,kPa,
1912,3871,80,POR022,-87.0097,41.6754,2004.9.27,766TC,,0,cm/s,0,,m,MPa,kPa,
1913,3872,80,POR023,-86.9396,41.7037,2004.9.28,766TC,,0,cm/s,0,,m,MPa,kPa,
1914,3873,80,POR024,-86.9438,41.7031,2004.9.28,766TC,,0,cm/s,0,,m,MPa,kPa,
1915,3874,80,POR025,-86.9554,41.7011,2004.9.28,766TC,,0,cm/s,0,,m,MPa,kPa,
1916,3875,80,POT001,-90.5714,35.6854,2008.10.10,DDG0766,,0,cm/s,0,,m,MPa,kPa,
1917,3876,80,POT002,-90.4835,35.5794,2008.10.10,DDG0766,,0,cm/s,0,,m,MPa,kPa,
1918,3877,80,POT003,-90.5375,35.5593,2008.10.10,DDG0766,,0,cm/s,0,,m,MPa,kPa,
1919,3878,80,POT006,-90.3581,35.513,2008.10.11,DDG0766,,0,cm/s,0,,m,MPa,kPa,
1920,3879,80,POT007,-90.322,35.5697,2008.10.11,DDG0766,,0,cm/s,0,,m,MPa,kPa,
1921,3880,80,POT008,-90.4531,35.5139,2008.10.16,DDG0766,,0,cm/s,0,,m,MPa,kPa,
1922,3881,80,POT009,-90.5552,35.5384,2008.10.16,DDG0766,,0,cm/s,0,,m,MPa,kPa,
1923,3882,80,POT010,-90.6086,35.5503,2008.10.16,DDG0766,,0,cm/s,0,,m,MPa,kPa,
1924,3883,80,POT011,-90.6004,35.6055,2008.10.16,DDG0766,,0,cm/s,0,,m,MPa,kPa,
1925,3884,80,POT012,-90.5667,35.6347,2008.10.17,DDG0766,,0,cm/s,0,,m,MPa,kPa,
1926,3885,80,PST001,-89.9584,36.1323,2008.9.22,DDG0766,,0,cm/s,0,,m,MPa,kPa,
1927,3886,80,PST002,-89.9587,36.0089,2008.9.23,DDG0766,,0,cm/s,0,,m,MPa,kPa,
1928,3887,80,PST003,-89.9585,36.0307,2008.9.23,DDG0766,,0,cm/s,0,,m,MPa,kPa,
1929,3888,80,PST004,-89.9582,36.0598,2008.9.23,DDG0766,,0,cm/s,0,,m,MPa,kPa,
1930,3889,80,PST005,-89.9585,36.1034,2008.9.23,DDG0766,,0,cm/s,0,,m,MPa,kPa,
1931,3890,80,PST006,-89.7881,36.0145,2008.9.24,DDG0766,,0,cm/s,0,,m,MPa,kPa,
1932,3891,80,PST007,-89.7882,36.0064,2008.9.23,DDG0766,,0,cm/s,0,,m,MPa,kPa,
1933,3892,80,PST008,-89.784,36.0005,2008.9.24,DDG0766,,0,cm/s,0,,m,MPa,kPa,
1934,3893,80,PST009,-89.7702,36.0087,2008.9.23,DDG0766,,0,cm/s,0,,m,MPa,kPa,
1935,3894,80,PST010,-89.7703,36.0279,2008.9.24,DDG0766,,0,cm/s,0,,m,MPa,kPa,
1936,3895,80,PST015,-89.7659,36.0159,2008.10.1,DDG0766,,0,cm/s,0,,m,MPa,kPa,
1937,3896,80,PST016,-89.7661,36.074,2008.10.1,DDG0766,,0,cm/s,0,,m,MPa,kPa,
1938,3897,80,PST017,-89.7176,36.0883,2008.10.1,DDG0766,,0,cm/s,0,,m,MPa,kPa,
1939,3898,80,PST018,-89.695,36.0961,2008.10.1,DDG0766,,0,cm/s,0,,m,MPa,kPa,
1940,3899,80,PST019,-89.7042,36.1325,2008.10.1,DDG0766,,0,cm/s,0,,m,MPa,kPa,
1941,3900,80,PST020,-89.7234,36.1765,2008.10.2,DDG0766,,0,cm/s,0,,m,MPa,kPa,
1942,3901,80,PST021,-89.7,36.1922,2008.10.2,DDG0766,,0,cm/s,0,,m,MPa,kPa,
1943,3902,80,PST022,-89.6892,36.3018,2008.10.2,DDG0766,,0,cm/s,0,,m,MPa,kPa,
1944,3903,80,PST023,-89.7081,36.3056,2008.10.2,DDG0766,,0,cm/s,0,,m,MPa,kPa,
1945,3904,80,PST025,-89.7379,36.387,2008.10.5,DDG0766,,0,cm/s,0,,m,MPa,kPa,
1946,3905,80,PST027,-89.8155,36.3788,2008.10.5,DDG0766,,0,cm/s,0,,m,MPa,kPa,
1947,3906,80,PST028,-89.8087,36.3285,2008.10.5,DDG0766,,0,cm/s,0,,m,MPa,kPa,
1948,3907,80,PST030,-89.9352,36.3802,2008.10.8,DDG0766,,0,cm/s,0,,m,MPa,kPa,
1949,3908,80,PSY001,-87.7167,37.9806,2004.10.6,766TC,,0,cm/s,0,,m,MPa,kPa,
1950,3909,80,PSY002,-87.9066,38.1937,2004.10.7,766TC,,0,cm/s,0,,m,MPa,kPa,
1951,3910,80,PSY003,-87.936,38.1305,2004.10.7,766TC,,0,cm/s,0,,m,MPa,kPa,
1952,3911,80,RCD001,-96.9739,46.4708,2004.8.25,766TC,,0,cm/s,0,,m,MPa,kPa,
1953,3912,80,RCD002,-97.0405,46.4708,2004.8.25,766TC,,0,cm/s,0,,m,MPa,kPa,
1954,3913,80,RCD004,-97.1554,46.4708,2004.8.25,766TC,,0,cm/s,0,,m,MPa,kPa,
1955,3914,80,RCD005,-97.2183,46.4273,2004.8.25,766TC,,0,cm/s,0,,m,MPa,kPa,
1956,3915,80,RCD006,-96.8937,46.4709,2004.8.26,766TC,,0,cm/s,0,,m,MPa,kPa,
1957,3916,80,RCD007,-97.1384,46.4706,2004.8.26,766TC,,0,cm/s,0,,m,MPa,kPa,
1958,3917,80,RCD008,-97.1763,46.4563,2004.8.26,766TC,,0,cm/s,0,,m,MPa,kPa,
1959,3918,80,RCD009,-97.2604,46.3982,2004.8.26,766TC,,0,cm/s,0,,m,MPa,kPa,
1960,3919,80,RCD010,-97.239,46.4128,2004.8.26,766TC,,0,cm/s,0,,m,MPa,kPa,
1961,3920,80,RCD011,-97.1973,46.4417,2004.8.27,766TC,,0,cm/s,0,,m,MPa,kPa,
1962,3921,80,RCD012,-97.1078,46.4705,2004.8.27,766TC,,0,cm/s,0,,m,MPa,kPa,
1963,3922,80,RCD013,-97.0935,46.4705,2004.8.27,766TC,,0,cm/s,0,,m,MPa,kPa,
1964,3923,80,RCD014,-97.0719,46.471,2004.8.27,766TC,,0,cm/s,0,,m,MPa,kPa,
1965,3924,80,RCD015,-97.0513,46.4707,2004.8.27,766TC,,0,cm/s,0,,m,MPa,kPa,
1966,3925,80,RCD016,-96.9183,46.4708,2004.8.28,766TC,,0,cm/s,0,,m,MPa,kPa,
1967,3926,80,RCD017,-96.9298,46.4707,2004.8.28,766TC,,0,cm/s,0,,m,MPa,kPa,
1968,3927,80,RCD018,-96.9419,46.4707,2004.8.28,766TC,,0,cm/s,0,,m,MPa,kPa,
1969,3928,80,RCD019,-96.9535,46.4707,2004.8.28,766TC,,0,cm/s,0,,m,MPa,kPa,
1970,3929,80,RCD020,-96.9889,46.4707,2004.8.28,766TC,,0,cm/s,0,,m,MPa,kPa,
1971,3930,80,RCD021,-97.0054,46.4708,2004.8.30,766TC,,0,cm/s,0,,m,MPa,kPa,
1972,3931,80,RCD022,-97.0203,46.4707,2004.8.30,766TC,,0,cm/s,0,,m,MPa,kPa,
1973,3932,80,RCD023,-97.1693,46.4707,2004.8.30,766TC,,0,cm/s,0,,m,MPa,kPa,
1974,3933,80,RCD024,-97.1836,46.4707,2004.8.30,766TC,,0,cm/s,0,,m,MPa,kPa,
1975,3934,80,RCD025,-97.2749,46.3982,2004.8.30,766TC,,0,cm/s,0,,m,MPa,kPa,
1976,3935,80,RCD026,-97.2476,46.3983,2004.8.31,766TC,,0,cm/s,0,,m,MPa,kPa,
1977,3936,80,RCD027,-97.2346,46.3983,2004.8.31,766TC,,0,cm/s,0,,m,MPa,kPa,
1978,3937,80,RCD028,-97.2207,46.3983,2004.8.31,766TC,,0,cm/s,0,,m,MPa,kPa,
1979,3938,80,RCD029,-97.2081,46.3984,2004.8.31,766TC,,0,cm/s,0,,m,MPa,kPa,
