depth (m),qc (MPa),fs (MPa),u (MPa),qt (MPa)
17.35,3.01645575,0.119509104,0.105717355,3.037599221
17.4,2.95507327,0.11874302,0.106199988,2.976313268
17.45,2.856344194,0.121424314,0.104138455,2.877171885
17.5,2.629679091,0.116157487,0.102918083,2.650262708
17.55,2.485655299,0.107826323,0.10024981,2.505705261
17.6,2.394970105,0.0957605,0.100367021,2.415043509
17.65,2.290974202,0.079289694,0.099036333,2.310781469
17.7,2.213599718,0.074118627,0.103166294,2.234232977
17.75,2.141587822,0.063584972,0.102070027,2.162001827
17.8,2.053583923,0.062531607,0.102311344,2.074046192
17.85,2.752348291,0.08991911,0.105227827,2.773393856
17.9,4.043199831,0.124871692,0.07339472,4.057878775
17.95,3.957877226,0.156376897,0.072422559,3.972361738
18,3.168427664,0.142204343,0.058570986,3.180141861
18.05,2.71768299,0.124967452,0.086150026,2.734912995
18.1,2.835085363,0.10916697,0.086150026,2.852315368
18.15,2.816412066,0.100548525,0.071933031,2.830798672
18.2,2.504328596,0.093653769,0.009114873,2.506151571
18.25,2.394970105,0.113763474,0.006439706,2.396258046
18.3,2.104241227,0.098920596,0.009597506,2.106160728
18.35,2.315010088,0.082162509,0.017864323,2.318582953
18.4,2.120328991,0.065308661,0.02211839,2.124752669
18.45,2.093611811,0.064925619,0.024304029,2.098472617
18.5,2.917726675,0.115199882,0.026365562,2.922999787
18.55,5.824728173,0.186445694,0.027220512,5.830172275
18.6,4.38190472,0.246104485,-0.050062852,4.37189215
18.65,3.320399577,0.211822226,-0.049938747,3.310411828
18.7,2.835085363,0.153504082,-0.046174208,2.825850521
18.75,2.509691184,0.123818326,-0.013610256,2.506969133
18.8,2.482974005,0.119030302,-0.014823734,2.480009258
18.85,2.661663098,0.106581437,-0.013727467,2.658917605
18.9,2.491017887,0.088578463,-0.012513989,2.488515089
18.95,3.309770162,0.117402373,-0.005343439,3.308701474
19,3.432439362,0.111848264,0.08275091,3.448989544
19.05,3.008411868,0.119987906,0.103042188,3.029020306
19.1,3.328443459,0.103708622,0.114218594,3.351287178
19.15,2.939081266,0.093079206,0.146058596,2.968292985
19.2,2.563029783,0.090397912,0.154932152,2.594016213
19.25,2.571073665,0.086759013,0.151284824,2.60133063
19.3,2.653714976,0.094132572,0.142535373,2.682222051
19.35,2.749666997,0.103612861,0.143507535,2.778368504
19.4,2.752348291,0.107730563,0.12929054,2.778206399
19.45,2.589651201,0.101889172,0.128442484,2.615339698
19.5,2.552400367,0.089344547,0.14593449,2.581587265
19.55,2.576340492,0.085418366,0.143990168,2.605138526
19.6,2.56829661,0.094036811,0.150188557,2.598334321
19.65,2.589651201,0.11481684,0.147396179,2.619130437
19.7,2.728408166,0.126595381,0.14119779,2.756647724
19.75,3.21372238,0.140767935,0.142900796,3.242302539
19.8,3.739160243,0.17054945,0.13803999,3.766768241
19.85,5.723413564,0.182711034,0.016161317,5.726645827
19.9,7.60903357,0.20119281,0.003523222,7.609738214
19.95,9.174526224,0.219387306,0.004129961,9.175352216
20,9.435952389,0.241507981,0.003647328,9.436681855
20.05,9.070530321,0.256159338,0.003281906,9.071186702
20.1,8.78516403,0.259127913,0.002185639,8.785601158
20.15,8.305116644,0.241891023,0,8.305116644
20.2,7.614300397,0.2220686,-0.001096267,7.614081144
20.25,7.563643092,0.229250637,0.001820217,7.564007135
20.3,7.45964719,0.26228801,-0.000365422,7.459574106
20.35,6.166210116,0.258936392,-0.001944322,6.165821252
20.4,4.285952699,0.222834684,0.006929234,4.287338546
20.45,3.123037187,0.146800847,0.012155462,3.125468279
20.5,3.192463549,0.134830784,0.014582417,3.195380032
20.55,3.309770162,0.119892146,0.015430473,3.312856257
20.6,5.016701074,0.140576414,0.020415384,5.020784151
20.65,9.59328689,0.165952947,0.006198389,9.594526568
20.7,11.24151662,0.248498498,0.004129961,11.24234261
20.75,13.30304866,0.36580511,0.005708861,13.30419043
20.8,13.95115572,0.376338765,0.006929234,13.95254157
20.85,16.13813402,0.383616563,0.007294656,16.13959295
20.9,13.55911224,0.369252488,0.004129961,13.55993823
20.95,7.822387964,0.38294624,0.001337583,7.822655481
21,4.176594208,0.297815155,0.000730845,4.176740377
21.05,2.685698983,0.177731488,0.005957073,2.686890398
21.1,2.322958209,0.097484189,0.013486151,2.325655439
21.15,2.211014184,0.06904332,0.017257584,2.214465701
21.2,2.269619611,0.077566005,0.019443223,2.273508256
21.25,3.57378186,0.104857748,0.02211839,3.578205538
21.3,4.757956203,0.15312104,0.023449079,4.762646019
21.35,3.680459057,0.162218287,0.014582417,3.68337554
21.4,3.072379882,0.136745994,0.053461969,3.083072276
21.45,2.811049478,0.10725176,0.06379032,2.823807542
21.5,2.720364284,0.094036811,0.065858748,2.733536034
21.55,2.66970698,0.085418366,0.066100064,2.682926993
21.6,2.637722973,0.087142055,0.067196331,2.651162239
21.65,2.643085561,0.082162509,0.068168492,2.656719259
21.7,2.589651201,0.086280211,0.067196331,2.603090467
21.75,2.589651201,0.087525097,0.067072225,2.603065646
21.8,2.616368381,0.08991911,0.068409809,2.630050343
21.85,2.715001696,0.092791925,0.072422559,2.729486208
21.9,2.923089263,0.100357004,0.07497362,2.938083987
21.95,2.995101159,0.11481684,0.078379632,3.010777085
22,3.741841538,0.129755478,0.083116332,3.758464804
22.05,5.904783951,0.163558934,0.085177865,5.921819524
22.1,10.68141345,0.232793776,0.037059335,10.68882532
22.15,12.41228449,0.321946801,0.012513989,12.41478729
22.2,13.45779763,0.34081162,0.008384028,13.45947444
22.25,13.90049842,0.354888413,0.005957073,13.90168983
22.3,13.54043894,0.354409611,0.005832967,13.54160553
22.35,13.47110834,0.351057993,0.006805128,13.47246937
22.4,12.11897008,0.379786143,0.006563812,12.12028284
22.45,10.0092705,0.4135896,0.005708861,10.01041227
22.5,7.003635689,0.348376699,0.00559165,7.004754019
22.55,8.657132242,0.294559298,0.013003517,8.659732945
22.6,12.62563888,0.264682022,0.003040589,12.626247
22.65,11.03084352,0.278375774,0.001820217,11.03120756
22.7,15.67407864,0.282014673,0.0015789,15.67439442
22.75,13.53517211,0.31792486,0.000972161,13.53536654
22.8,8.433148433,0.326447544,0.000730845,8.433294602
22.85,5.21138217,0.295038101,0.000241317,5.211430433
22.9,4.272546228,0.219387306,0.002068428,4.272959914
22.95,3.123037187,0.148333015,0.002792378,3.123595663
23,2.973746567,0.102176454,0.00717055,2.975180677
23.05,2.771021589,0.096909626,-0.000482633,2.770925062
23.1,2.514958012,0.093462248,0.005343439,2.5160267
23.15,3.024403871,0.103612861,0.008018606,3.026007592
23.2,3.504451258,0.117593894,0.001461689,3.504743596
23.25,3.395092767,0.12831907,0.009356189,3.396964005
23.3,3.49918443,0.125063213,0.014092889,3.502003008
23.35,4.072502544,0.125542016,0.019319118,4.076366368
23.4,3.992542527,0.14162978,0.018346956,3.996211918
23.45,3.94715205,0.157909065,0.017981534,3.950748357
23.5,4.040518537,0.148907578,0.020898018,4.044698141
23.55,4.000490648,0.142778906,0.026248351,4.005740318
23.6,4.029889122,0.142778906,0.024179923,4.034725107
23.65,3.917849337,0.155898094,0.02284234,3.922417805
23.7,3.941885222,0.149194859,0.021752968,3.946235816
23.75,4.688625601,0.177923009,0.020291279,4.692683857
23.8,4.851322691,0.178784854,0.007777289,4.852878149
23.85,4.773948207,0.206268117,-0.011665934,4.77161502
23.9,4.629924415,0.195734462,-0.013120728,4.627300269
23.95,3.989861233,0.188169383,0.002309745,3.990323182
24,3.73647895,0.174858673,0.006563812,3.737791712
24.05,3.637845634,0.150631267,0.008018606,3.639449355
24.1,3.781869427,0.157526023,0.013727467,3.78461492
24.15,4.389948602,0.168346959,0.018953695,4.393739341
24.2,5.456720572,0.201863134,0.020656701,5.460851912
24.25,6.790281295,0.275598719,-0.000482633,6.790184768
24.3,6.403504635,0.297049071,-0.000482633,6.403408108
24.35,5.622098955,0.296570269,0.017498901,5.625598735
24.4,4.595259114,0.237964843,0.024055818,4.600070278
24.45,4.363231422,0.202150416,0.02843399,4.36891822
24.5,3.79786143,0.153504082,0.030867841,3.804034998
24.55,4.309892823,0.145364439,0.035239118,4.316940647
24.6,3.45111266,0.129659717,0.02685509,3.456483678
24.65,3.528487144,0.143449229,0.036942124,3.535875569
24.7,5.878162532,0.170262169,0.042285563,5.886619645
24.75,11.9669024,0.200426726,0.009597506,11.9688219
24.8,12.78306915,0.239784292,0.000972161,12.78326358
24.85,12.46562309,0.269278526,0.001096267,12.46584234
24.9,12.13228079,0.32941612,0.000365422,12.13235387
24.95,11.36150452,0.334874468,0.001213478,11.36174722
25,11.19085931,0.345025082,0.001213478,11.19110201
25.05,8.734506726,0.311700428,0.001096267,8.734725979
25.1,6.21677166,0.301358294,0.001461689,6.217063998
25.15,7.422300595,0.293122891,0.003647328,7.423030061
25.2,7.88108915,0.291878004,-0.001703006,7.880748549
25.25,7.406308591,0.320223112,0.0031578,7.406940151
25.3,7.662372168,0.30250742,-0.002551061,7.661861956
25.35,7.779678781,0.267459077,0.002916483,7.780262078
25.4,10.24934208,0.255680535,-0.000241317,10.24929382
25.45,10.39872846,0.2872815,0.000848055,10.39889807
25.5,9.070530321,0.319552789,0.000365422,9.070603405
25.55,5.798106754,0.292644088,-0.000482633,5.798010227
25.6,5.614055073,0.263341375,0.004619489,5.614978971
25.65,6.598185732,0.228580314,0.008873556,6.599960443
25.7,7.03830099,0.281344349,-0.004984911,7.037304008
25.75,5.880748066,0.279141858,-0.000848055,5.880578455
25.8,6.131449054,0.286898458,0.005226228,6.1324943
25.85,8.547773751,0.276747845,-0.004129961,8.546947759
25.9,13.7858731,0.311317386,-0.000482633,13.78577657
25.95,17.04230466,0.424985099,0.000365422,17.04237774
